Transaction Date,Value Date,Description,Reference,Withdrawal,Deposit,Balance,Currency,Transaction Type,Transaction ID
2023-01-05,2023-01-05,Customer Payment - ABC Corp,INV-2023-001,,5000.00,15000.00,USD,CREDIT,BNK001
2023-01-10,2023-01-10,Payment to Office Supplies Inc.,PO-2023-001,250.75,,14749.25,USD,DEBIT,BNK002
2023-01-15,2023-01-15,Electric Company Payment,UTIL-2023-001,320.50,,14428.75,USD,DEBIT,BNK003
2023-01-20,2023-01-20,Customer Payment - XYZ Ltd.,INV-2023-002,,3500.00,17928.75,USD,CREDIT,BNK004
2023-01-25,2023-01-25,Payroll Processing,PAY-2023-001,12500.00,,5428.75,USD,DEBIT,BNK005
2023-02-01,2023-02-01,Bank Service Fee,FEE-2023-001,25.00,,5403.75,USD,DEBIT,BNK006
2023-02-05,2023-02-05,Customer Payment - DEF Inc.,INV-2023-003,,7500.00,12903.75,USD,CREDIT,BNK007
2023-02-10,2023-02-10,Digital Marketing Agency,MKT-2023-001,1800.00,,11103.75,USD,DEBIT,BNK008
2023-02-15,2023-02-15,Rent Payment,RENT-2023-001,3500.00,,7603.75,USD,DEBIT,BNK009
2023-02-20,2023-02-20,Customer Payment - GHI Corp,INV-2023-004,,4200.00,11803.75,USD,CREDIT,BNK010
2023-02-25,2023-02-25,Insurance Premium,INS-2023-001,980.00,,10823.75,USD,DEBIT,BNK011
2023-02-28,2023-02-28,Interest Earned,INT-2023-001,,15.25,10839.00,USD,CREDIT,BNK012
2023-03-01,2023-03-01,Equipment Purchase,EQP-2023-001,2350.00,,8489.00,USD,DEBIT,BNK013
2023-03-05,2023-03-05,Customer Payment - JKL Ltd.,INV-2023-005,,6300.00,14789.00,USD,CREDIT,BNK014
2023-03-10,2023-03-10,Software Subscription,SUB-2023-001,199.99,,14589.01,USD,DEBIT,BNK015 